isolate,otu,mode,ehb,species,replicate,total.count,germ.total.count,germ.total.prop,col.total.count,col.total.prop,col.1.count,col.1.prop,col.2.count,col.2.prop,col.3.count,col.3.prop,col.4.count,col.4.prop,col.combined.total,col.combined.prop,ungerm.total.count,germ.2wk.count,germ.2wk.prop,germ.3wk.count,germ.3wk.prop,germ.4wk.count,germ.4wk.prop,germ.5wk.count,germ.5wk.prop,germ.6wk.count,germ.6wk.prop,germ.7wk.count,germ.7wk.prop,viable.7wk.count,viable.7wk.total,viable.7wk.prop
P0265,3,endophyte,1,Apeiba_tibourbou,1,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,0,0,0,0,0,0,0,0,0,0,0,0,16,19,0.84
P0265,3,endophyte,1,Apeiba_tibourbou,2,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,2,0.1,2,0.1,2,0.1,2,0.1,2,0.1,3,0.15,14,16,0.88
P0265,3,endophyte,1,Apeiba_tibourbou,3,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,0,0,2,0.1,3,0.15,3,0.15,5,0.25,7,0.35,10,13,0.77
P0265,3,endophyte,1,Apeiba_tibourbou,4,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,1,0.05,2,0.1,2,0.1,2,0.1,2,0.1,3,0.15,12,16,0.75
P0265,3,endophyte,1,Apeiba_tibourbou,5,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,0,0,1,0.05,1,0.05,3,0.15,3,0.15,4,0.2,16,16,1
P0265,3,endophyte,0,Apeiba_tibourbou,1,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,0,0,0,0,0,0,0,0,1,0.05,3,0.15,17,17,1
P0265,3,endophyte,0,Apeiba_tibourbou,2,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,1,0.05,2,0.1,2,0.1,2,0.1,2,0.1,4,0.2,15,16,0.94
P0265,3,endophyte,0,Apeiba_tibourbou,3,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,3,0.15,4,0.2,4,0.2,4,0.2,4,0.2,6,0.3,14,14,1
P0265,3,endophyte,0,Apeiba_tibourbou,4,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,0,0,0,0,1,0.05,1,0.05,2,0.1,2,0.1,16,18,0.89
P0265,3,endophyte,0,Apeiba_tibourbou,5,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,1,0.05,1,0.05,1,0.05,2,0.1,2,0.1,2,0.1,18,18,1
P0265,3,endophyte,1,Cecropia_longipes,1,22,0,0,22,1,0,0,0,0,0,0,22,1,88,1,22,8,0.36,12,0.55,13,0.59,13,0.59,13,0.59,14,0.64,5,7,0.71
P0265,3,endophyte,1,Cecropia_longipes,2,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,13,0.65,17,0.85,18,0.9,18,0.9,18,0.9,18,0.9,1,2,0.5
P0265,3,endophyte,1,Cecropia_longipes,3,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,11,0.55,11,0.55,12,0.6,12,0.6,12,0.6,12,0.6,6,8,0.75
P0265,3,endophyte,1,Cecropia_longipes,4,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,7,0.35,12,0.6,12,0.6,12,0.6,12,0.6,12,0.6,6,8,0.75
P0265,3,endophyte,1,Cecropia_longipes,5,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,9,0.45,12,0.6,14,0.7,14,0.7,14,0.7,14,0.7,5,6,0.83
P0265,3,endophyte,0,Cecropia_longipes,1,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,11,0.55,13,0.65,15,0.75,15,0.75,15,0.75,15,0.75,5,5,1
P0265,3,endophyte,0,Cecropia_longipes,2,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,8,0.4,11,0.55,11,0.55,13,0.65,13,0.65,14,0.7,4,6,0.67
P0265,3,endophyte,0,Cecropia_longipes,3,20,0,0,20,1,0,0,0,0,0,0,20,1,80,1,20,7,0.35,11,0.55,12,0.6,12,0.6,12,0.6,13,0.65,4,6,0.67
P0265,3,endophyte,0,Cecropia_longipes,4,21,0,0,21,1,0,0,0,0,0,0,21,1,84,1,21,10,0.48,15,0.71,15,0.71,15,0.71,15,0.71,15,0.71,4,6,0.67
P0265,3,endophyte,0,Cecropia_longipes,5,21,0,0,21,1,0,0,0,0,0,0,21,1,84,1,21,10,0.48,12,0.57,12,0.57,12,0.57,12,0.57,15,0.71,4,8,0.5
P0265,3,endophyte,1,Cecropia_peltata,1,20,0,0,20,1,0,0,1,0.05,13,0.65,6,0.3,65,0.81,20,2,0.1,2,0.1,2,0.1,2,0.1,2,0.1,2,0.1,8,18,0.44
P0265,3,endophyte,1,Cecropia_peltata,2,20,0,0,20,1,0,0,0,0,13,0.65,7,0.35,67,0.84,20,3,0.15,4,0.2,4,0.2,4,0.2,4,0.2,4,0.2,6,16,0.38
P0265,3,endophyte,1,Cecropia_peltata,3,20,0,0,20,1,0,0,0,0,8,0.4,12,0.6,72,0.9,20,2,0.1,2,0.1,2,0.1,2,0.1,2,0.1,2,0.1,7,18,0.39
P0265,3,endophyte,1,Cecropia_peltata,4,20,0,0,20,1,0,0,2,0.1,11,0.55,7,0.35,65,0.81,20,1,0.05,1,0.05,1,0.05,1,0.05,1,0.05,1,0.05,3,19,0.16
